beta_dx,pval,qval,g
,1.0,1.0,-0.0048503652891935724
,1.0,1.0,0.015116576074118078
,1.0,1.0,0.12730641112043586
,1.0,1.0,-0.017649786381067817
,1.0,1.0,0.014411513980249552
,1.0,1.0,-0.05410968961760927
,1.0,1.0,0.15567539730906083
,1.0,1.0,-0.10866161767087686
,1.0,1.0,-0.1551505407487286
,1.0,1.0,0.14466882023607083
,1.0,1.0,0.04233719796659763
,1.0,1.0,-0.0033924396939089487
,1.0,1.0,0.01910821750060534
,1.0,1.0,0.04033476518313762
,1.0,1.0,0.020314836847235927
,1.0,1.0,0.06911636864684201
,1.0,1.0,-0.15096554478067964
,1.0,1.0,0.012924353215254605
,1.0,1.0,0.06355007894439031
,1.0,1.0,0.16625477406647182
,1.0,1.0,-0.018987203619731947
,1.0,1.0,-0.007724691654769129
,1.0,1.0,0.1659229725135729
,1.0,1.0,0.11053112545787787
,1.0,1.0,0.2878601138677135
,1.0,1.0,0.09501679895142578
,1.0,1.0,0.2154023677517121
,1.0,1.0,-0.01963440566069634
,1.0,1.0,-0.01446107071421894
,1.0,1.0,0.26402548255588426
,1.0,1.0,0.10917905889908339
,1.0,1.0,0.008138596403425435
,1.0,1.0,0.025659127700671924
,1.0,1.0,0.148165463762323
,1.0,1.0,-0.09238481024334796
,1.0,1.0,-0.07512588094754774
,1.0,1.0,-0.030244313551940717
,1.0,1.0,0.040315427306101444
,1.0,1.0,-0.023565890356205425
,1.0,1.0,-0.12174097114418166
,1.0,1.0,0.13721688773186935
,1.0,1.0,0.12796281565532489
,1.0,1.0,-0.06789419531813969
,1.0,1.0,-0.15190562568326677
,1.0,1.0,-0.07145073743913997
,1.0,1.0,0.006980438448315835
,1.0,1.0,-0.008506451810406775
,1.0,1.0,0.00031881288987899604
,1.0,1.0,0.03191120527111085
,1.0,1.0,0.07682034297421297
